id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
35875180,拯救嫌疑人,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2900091126.webp,2023-11-01(中国大陆),https://movie.douban.com/subject/35875180/,5.8,"剧情,悬疑,犯罪",4,,,2024-01-18 00:26:47,2023 / 中国大陆 / 剧情 悬疑 犯罪 / 张末 / 张小斐 李鸿其
35457272,保你平安,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2889498097.webp,2023-03-10(中国大陆),https://movie.douban.com/subject/35457272/,7.7,"剧情,喜剧",4,,,2024-01-14 11:33:17,2022 / 中国大陆 / 剧情 喜剧 / 大鹏 / 大鹏 李雪琴
36035676,长安三万里,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2893820209.webp,2023-07-08(中国大陆),https://movie.douban.com/subject/36035676/,8.3,"动画,历史",4,,,2024-01-14 11:32:59,2023 / 中国大陆 / 动画 历史 / 谢君伟 邹靖 / 杨天翔 凌振赫
26615572,极限挑战 第二季,,https://dou.img.lithub.cc/movie/26615572.jpg,2016-04-17(中国大陆),https://movie.douban.com/subject/26615572/,9.4,"冒险,真人秀",4,,,2024-01-14 11:31:57,2016 / 中国大陆 / 冒险 真人秀 / 任静 严敏 / 黄渤 孙红雷
26387728,极限挑战 第一季,,https://dou.img.lithub.cc/movie/26387728.jpg,2015-06-14(中国大陆),https://movie.douban.com/subject/26387728/,9.3,真人秀,5,,,2024-01-14 11:31:43,2015 / 中国大陆 / 真人秀 / 任静 严敏 / 黄渤 孙红雷
26649682,深海,,https://dou.img.lithub.cc/movie/26649682.jpg,2023-01-22(中国大陆),https://movie.douban.com/subject/26649682/,7.2,"动画,奇幻",4,,,2024-01-14 11:30:52,2023 / 中国大陆 / 动画 奇幻 / 田晓鹏 / 苏鑫 王亭文
35813934,东北警察故事2,,https://dou.img.lithub.cc/movie/35813934.jpg,2023-07-08(中国大陆网络),https://movie.douban.com/subject/35813934/,7.2,"剧情,动作,犯罪",4,,,2024-01-14 11:30:39,2023 / 中国大陆 / 剧情 动作 犯罪 / 秦鹏飞 杨秉佳 / 谢苗 张皓森
35224919,拿破仑,,https://dou.img.lithub.cc/movie/35224919.jpg,2023-12-01(中国大陆),https://movie.douban.com/subject/35224919/,6.4,"剧情,动作,传记",3,,,2024-01-11 23:11:40,2023 / 英国 美国 / 剧情 动作 传记 历史 战争 冒险 / 雷德利·斯科特 / 华金·菲尼克斯 凡妮莎·柯比
35873969,名侦探柯南：黑铁的鱼影,,https://dou.img.lithub.cc/movie/35873969.jpg,2023-12-16(中国大陆),https://movie.douban.com/subject/35873969/,6.6,"动作,动画,悬疑",4,,,2024-01-11 23:11:26,2023 / 日本 / 动作 动画 悬疑 惊悚 犯罪 冒险 / 立川让 / 高山南 林原惠美
26746801,暗杀风暴,,https://dou.img.lithub.cc/movie/26746801.jpg,2023-08-18(中国大陆),https://movie.douban.com/subject/26746801/,5.7,"悬疑,犯罪",3,,,2024-01-11 23:10:59,2023 / 中国大陆 中国香港 / 悬疑 犯罪 / 邱礼涛 / 古天乐 张智霖
